Module                  Size  Used by
snd_hda_core          147456  12 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_soc_intel_hda_dsp_common,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda
mac80211             1814528  2 rtw88_pci,rtw88_core
snd_hwdep              20480  1 snd_hda_codec
uvcvideo              143360  0
snd_pcm               192512  13 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_sof_intel_hda_generic,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pcm_dmaengine
videobuf2_vmalloc      20480  1 uvcvideo
btusb                  73728  0
uvc                    12288  1 uvcvideo
videobuf2_memops       16384  1 videobuf2_vmalloc
videobuf2_v4l2         36864  1 uvcvideo
irqbypass              12288  1 kvm
drm_buddy              24576  2 xe,i915
cmdlinepart            16384  0
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
snd_seq_midi           24576  0
btrtl                  32768  1 btusb
spi_nor               163840  0
btintel                69632  1 btusb
videodev              360448  2 videobuf2_v4l2,uvcvideo
ttm                   118784  3 drm_ttm_helper,xe,i915
snd_seq_midi_event     16384  1 snd_seq_midi
polyval_clmulni        12288  0
polyval_generic        12288  1 polyval_clmulni
btbcm                  24576  1 btusb
cfg80211             1437696  2 rtw88_core,mac80211
snd_rawmidi            57344  1 snd_seq_midi
btmtk                  36864  1 btusb
ghash_clmulni_intel    16384  0
drm_display_helper    278528  2 xe,i915
sha256_ssse3           32768  0
mtd                    98304  3 spi_nor,cmdlinepart
mei_hdcp               28672  0
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
sha1_ssse3             32768  0
mei_pxp                16384  0
ee1004                 16384  0
processor_thermal_device_pci_legacy    12288  0
bluetooth            1011712  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
aesni_intel           122880  8
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
intel_rapl_msr         20480  0
processor_thermal_wt_hint    16384  1 processor_thermal_device
processor_thermal_rfim    40960  1 processor_thermal_device
processor_thermal_rapl    16384  1 processor_thermal_device
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
cec                    94208  3 drm_display_helper,xe,i915
crypto_simd            16384  1 aesni_intel
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
rc_core                73728  1 cec
snd                   143360  25 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
i2c_algo_bit           16384  2 xe,i915
libarc4                12288  1 mac80211
i2c_i801               36864  0
rapl                   20480  0
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
mei_me                 53248  2
soundcore              16384  2 snd_ctl_led,snd
intel_pmc_core        122880  0
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
intel_cstate           20480  0
i2c_smbus              20480  1 i2c_i801
hp_wmi                 36864  0
processor_thermal_wt_req    12288  1 processor_thermal_device
processor_thermal_power_floor    12288  1 processor_thermal_device
spi_intel_pci          12288  0
sparse_keymap          12288  1 hp_wmi
i2c_mux                16384  1 i2c_i801
igen6_edac             28672  0
joydev                 32768  0
spi_intel              36864  1 spi_intel_pci
platform_profile       20480  1 hp_wmi
wmi_bmof               12288  0
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
pmt_telemetry          16384  1 intel_pmc_core
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
int3403_thermal        16384  0
pmt_class              16384  1 pmt_telemetry
int3400_thermal        24576  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
intel_vsec             20480  2 intel_pmc_core,xe
acpi_thermal_rel       20480  1 int3400_thermal
dptf_pch_fivr          12288  0
input_leds             12288  0
wireless_hotkey        12288  0
mac_hid                12288  0
acpi_pad              184320  0
serio_raw              20480  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
nvme                   61440  2
nvme_core             225280  3 nvme
nvme_auth              28672  1 nvme_core
hid_multitouch         36864  0
hid_generic            12288  0
video                  77824  2 xe,i915
i2c_hid_acpi           12288  0
intel_lpss_pci         28672  0
intel_lpss             12288  1 intel_lpss_pci
i2c_hid                40960  1 i2c_hid_acpi
idma64                 20480  0
vmd                    24576  0
hid                   262144  3 i2c_hid,hid_multitouch,hid_generic
wmi                    28672  3 hp_wmi,video,wmi_bmof
pinctrl_tigerlake      28672  0
